Date,Close
20241021,25.8
20241018,26.1
20241017,26.15
20241016,25.75
20241015,25.85
20241014,25.95
20241011,26.1
20241010,26.2
20241009,26.25
20241008,25.5
20241007,25.45
20241004,25.4
20241003,25.7
20241002,25.8
20241001,25.75
20240930,25.75
20240927,25.9
20240926,26
20240925,26.2
20240924,25.8
20240923,25.65
20240920,25.65
20240919,24.8
20240918,24.65
20240917,24.5
20240916,24.15
20240913,24.4
20240912,24.45
20240911,24.15
20240910,24.25
20240909,24.45
20240906,24.6
20240905,24.5
20240904,24.65
20240830,24.8
20240829,24.65
20240828,24.5
20240827,24.45
20240826,24.45
20240823,24.45
20240822,24.4
20240821,24.4
20240820,24.1
20240819,24.05
20240816,24
20240815,23.5
20240814,23.55
20240813,23.6
20240812,23.8
20240809,23.6
20240808,23.25
20240807,23.4
20240806,23.5
20240805,23.2
20240802,23.95
20240801,23.95
20240731,24.55
20240730,24.15
20240729,24.15
20240726,24.1
20240725,24.05
20240724,24.2
20240723,24
20240722,24.75
20240719,25.1
20240718,24.8
20240717,24.5
20240716,24.1
20240715,23.95
20240712,24
20240711,24.15
20240710,24.25
20240709,24.3
20240708,24.25
20240705,24.3
20240704,24.15
20240703,24.25
20240702,24.05
20240701,23.8
20240628,23.8
20240627,23.95
20240626,24.1
20240625,24.05
20240624,24.1
20240621,24.55
20240620,24.8
20240619,24.65
20240618,24.55
20240617,24.55
20240614,24.6
20240613,24.8
20240612,24.55
20240611,24.15
20240610,24.4
20240607,24.6
20240606,24.35
20240605,24.35
20240604,24.5
20240603,24.8
20240531,24.65
20240530,24.696
20240529,24.57
20240528,24.906
20240527,24.738
20240524,24.57
20240523,23.898
20240522,23.478
20240521,23.688
20240520,23.73
20240517,23.73
20240516,23.73
20240515,23.268
20240514,23.31
20240513,23.268
20240510,23.268
20240509,23.184
20240508,23.142
20240507,23.226
20240506,23.184
20240503,23.1
20240502,22.68
20240426,22.554
20240425,22.512
20240424,22.722
20240423,22.386
20240422,22.512
20240419,22.344
20240417,22.47
20240416,22.806
20240415,22.554
20240412,23.52
20240411,22.806
20240410,22.764
20240409,22.932
20240408,22.806
20240405,22.806
20240404,23.142
20240403,23.52
20240402,23.856
20240401,23.898
20240329,23.94
20240328,23.814
20240327,23.52
20240326,23.478
20240325,23.1
20240322,23.646
20240321,23.52
20240320,23.1
20240319,22.554
20240318,22.596
20240315,22.974
20240314,22.89
20240313,23.226
20240312,22.47
20240311,22.47
20240308,22.722
20240307,23.1
20240306,23.268
20240305,23.478
20240304,23.352
20240301,23.352
20240229,23.52
20240228,23.52
20240227,23.184
20240226,23.1
20240223,22.932
20240222,23.226
20240221,23.268
20240220,23.142
20240219,23.268
20240216,23.184
20240215,22.848
20240207,23.52
20240206,23.394
20240205,23.352
20240202,22.05
20240201,21.84
20240131,21.63
20240130,21.798
20240129,21.798
20240126,22.092
20240125,21.672
20240124,21.672
20240123,21.882
20240122,22.092
20240119,21.798
20240118,21.504
20240117,21.336
20240116,21.336
20240115,21.252
20240112,21.672
20240111,21.21
20240110,21.21
20240109,21
20240108,21.294
20240105,21.378
20240104,21.252
20240103,21
20240102,20.538
20231229,20.076
20231228,19.95
20231227,19.572
20231226,19.53
20231225,19.614
20231222,19.488
20231221,19.53
20231220,19.488
20231219,19.362
20231218,19.152
20231215,19.11
20231214,18.9
20231213,18.732
20231212,18.9
20231211,18.816
20231208,18.816
20231207,18.816
20231206,18.732
20231205,18.606
20231204,18.732
20231201,18.438
20231130,18.438
20231129,18.522
20231128,18.396
20231127,18.354
20231124,18.522
20231123,18.648
20231122,19.068
20231121,18.984
20231120,18.9
20231117,19.068
20231116,19.572
20231115,19.53
20231114,19.068
20231113,18.858
20231110,18.816
20231109,18.942
20231108,19.152
20231107,18.564
20231106,18.648
20231103,18.522
20231102,18.732
20231101,18.144
20231031,17.976
20231030,17.892
20231027,18.102
20231026,17.724
20231025,18.396
20231024,18.396
20231023,18.312
20231020,18.396
20231019,18.312
20231018,18.522
20231017,18.858
20231016,18.984
20231013,19.026
20231012,19.068
20231011,19.068
20231010,19.152
20231009,18.9
20231006,18.312
20231005,18.144
20231004,18.144
20231003,18.144
20231002,18.396
20230929,18.354
20230928,18.27
20230927,18.48
20230926,18.396
20230925,18.48
20230922,18.732
20230921,18.816
20230920,18.858
20230919,18.732
20230918,18.858
20230915,19.026
20230914,18.858
20230913,18.942
20230912,19.11
20230911,18.774
20230908,19.11
20230907,19.236
20230906,19.278
20230905,19.11
20230831,18.984
20230830,18.858
20230829,18.522
20230828,18.522
20230825,18.438
20230824,18.522
20230823,18.354
20230822,18.522
20230821,18.48
20230818,18.396
20230817,19.068
20230816,19.236
20230815,19.194
20230814,19.362
20230811,19.236
20230810,19.236
20230809,19.488
20230808,19.656
20230807,19.95
20230804,20.496
20230803,19.698
20230802,19.404
20230801,19.194
